Date,AAPL,GOOGL,MSFT
2023-10-16,178.72000122070312,139.10000610351562,332.6400146484375
2023-10-17,177.14999389648438,139.72000122070312,332.05999755859375
2023-10-18,175.83999633789062,137.9600067138672,330.1099853515625
2023-10-19,175.4600067138672,137.75,331.32000732421875
2023-10-20,,,327.4049987792969
